0;0;0;0;x;x;
1;10;10;10;impassable_space_01;x;

2;80;0;0;avalon_iii;x;
3;85;0;0;avalon_iii_orbital;x;
4;90;0;0;avalon_iii_b;x;
5;95;0;0;avalon_iv;x;
6;100;0;0;avalon_v;x;
7;105;0;0;avalon_vi;x;
8;80;15;15;merlin_ii;x;
9;85;15;15;nimue;x;
10;90;15;15;merlin_iii;x;
11;95;15;15;merlin_iv;x;
12;80;30;30;camelot;x;
13;90;30;30;camelot_orbital;x;
14;95;30;30;camelot_iii;x;
15;80;45;45;paladin_ii;x;
16;85;45;45;paladin_ii_b;x;
17;90;45;45;paladin_iii;x;
18;95;45;45;paladin_iii_b;x;

19;168;63;72;avalon_sector;x;
20;140;56;63;nelson_sector;x;
21;134;63;69;galahad_sector;x;
22;144;68;74;lancelot_sector;x;
23;148;56;64;caliburn_sector;x;
24;135;64;70;alfred_sector;x;
25;156;61;69;victoria_sector;x;

26;60;33;33;nelson_ii;x;
27;60;38;38;nelson_ii_b;x;
28;60;23;23;nelson_iii;x;
29;60;28;28;nelson_iv;x;
30;57;38;38;chalice_prime;x;
31;57;33;33;chalice_ii;x;
32;57;23;23;chalice_iii;x;
33;53;28;28;sherwood_citadel;x;
34;53;33;33;sherwood_iii;x;

35;42;39;68;talon_sector;x;
36;58;55;77;yeni_istanbul_sector;x;
37;45;42;65;tarka_sector;x;
38;60;57;82;qoqnoos_sector;x;
39;76;73;91;mandela_sector;x;
40;55;53;70;new_lusaka_sector;x;
41;57;52;86;dhartvir_sector;x;
42;81;0;45;guangdong_sector;x;
43;88;19;57;yunnan_sector;x;
44;89;27;61;sichuan_sector;x;
45;72;21;49;shaanxi_sector;x;
46;87;31;62;heibei_sector;x;
47;84;16;54;shanghai_sector;x;
48;99;100;40;bolivar_sector;x;
49;83;84;42;encrucijada_sector;x;
50;92;93;45;frontera_sector;x;
51;100;106;54;sexto_sol_sector;x;
52;96;98;42;vega_sector;x;
53;101;119;169;apollo_sector;x;
54;120;139;191;armstrong_sector;x;
55;87;103;149;glenn_sector;x;
56;107;124;167;ride_sector;x;
57;80;92;124;shepard_sector;x;
